年度,鄉鎮,段名,地號,公告土地現值
112,2,18,5800000,4300
112,2,18,5810000,4300
112,2,18,5810001,4300
112,2,18,5820000,4300
112,2,18,5830000,4300
112,2,18,5840000,4300
112,2,18,5850000,4300
112,2,18,5860000,4300
112,2,18,5870000,4600
112,2,18,5870001,10903
112,2,18,5870002,10903
112,2,18,5880000,4600
112,2,18,5880001,4412
112,2,18,5890000,4300
112,2,18,5900000,4300
112,2,18,5910000,4300
112,2,18,5920000,4300
112,2,18,5930000,4300
112,2,18,5940000,4300
112,2,18,5950000,4300
112,2,18,5960000,4300
112,2,18,5970000,4300
112,2,18,5980000,4300
112,2,18,5990000,4300
112,2,18,6080000,4300
112,2,18,6090000,4300
112,2,18,6100000,4300
112,2,18,6110000,4300
112,2,18,6120000,4300
112,2,18,6130000,4300
112,2,18,6140000,4300
112,2,18,6150000,4300
112,2,18,6160000,4300
112,2,18,6170000,4300
112,2,18,6180000,4300
112,2,18,6190000,4300
112,2,18,6200000,4300
112,2,18,6200001,4300
112,2,18,6210000,4300
112,2,18,6220000,4300
112,2,18,6220001,4300
112,2,18,6230000,4300
112,2,18,6240000,4300
112,2,18,6240001,4300
112,2,18,6250000,4300
112,2,18,6250001,4300
112,2,18,6260000,4300
112,2,18,6260001,4300
112,2,18,6270000,4399
112,2,18,6270001,4842
112,2,18,6280000,4500
112,2,18,6280001,3583
112,2,18,6280002,3513
112,2,18,6290000,4300
112,2,18,6300000,4300
112,2,18,6310000,4300
112,2,18,6320000,4300
112,2,18,6330000,4300
112,2,18,6340000,4300
112,2,18,6350000,4300
112,2,18,6360000,4300
112,2,18,6370000,4300
112,2,18,6380000,4300
112,2,18,6390000,4300
112,2,18,6400000,4300
112,2,18,6410000,4300
112,2,18,6420000,4300
112,2,18,6430000,4300
112,2,18,6440000,4300
112,2,18,6450000,4403
112,2,18,6460000,4405
112,2,18,6470000,4300
112,2,18,6480000,4300
112,2,18,6490000,4300
112,2,18,6500000,4300
112,2,18,6510000,4300
112,2,18,6520000,4300
112,2,18,6530000,4300
112,2,18,6540000,4300
112,2,18,6550000,4300
112,2,18,6560000,4300
112,2,18,6570000,4300
112,2,18,6580000,4300
112,2,18,6590000,4300
112,2,18,6600000,4300
112,2,18,6610000,4300
112,2,18,6620000,4300
112,2,18,6630000,4300
112,2,18,6630001,4300
112,2,18,6640000,4300
112,2,18,6650000,4500
112,2,18,6650001,3513
112,2,18,6660000,4408
112,2,18,6670000,4300
112,2,18,6680000,4300
112,2,18,6690000,4300
112,2,18,6700000,4300
112,2,18,6710000,4300
112,2,18,6720000,4300
112,2,18,6730000,4300
112,2,18,6740000,4300
112,2,18,6750000,4300
112,2,18,6760000,4300
112,2,18,6760001,4300
112,2,18,6780000,4300
112,2,18,6790000,4300
112,2,18,6800000,4300
112,2,18,6800001,4300
112,2,18,6810000,4300
112,2,18,6820000,4300
112,2,18,6830000,4300
112,2,18,6840000,4300
112,2,18,6850000,4300
112,2,18,6860000,4300
112,2,18,6860001,4300
112,2,18,6870000,4300
112,2,18,6880000,4500
112,2,18,6880001,4500
112,2,18,6880002,3513
112,2,18,6880003,3513
112,2,18,6880004,4500
112,2,18,6880005,3513
112,2,18,6900000,4300
112,2,18,6910000,4300
112,2,18,6920000,4300
112,2,18,6930000,4300
112,2,18,6940000,4300
112,2,18,6950000,4300
112,2,18,6960000,4300
112,2,18,6970000,4300
112,2,18,6980000,4300
112,2,18,6990000,4300
112,2,18,7030000,4300
112,2,18,7040000,4300
112,2,18,7050000,4300
112,2,18,7060000,4300
112,2,18,7070000,4300
112,2,18,7080000,4300
112,2,18,7090000,4300
112,2,18,7100000,4300
112,2,18,7110000,4300
112,2,18,7120000,4500
112,2,18,7120001,3513
112,2,18,7130000,4500
112,2,18,7130001,4322
112,2,18,7130002,3513
112,2,18,7130003,3513
112,2,18,7140000,4300
112,2,18,7140001,4300
